"tiend_d","plaz_cv","nvlscc_","entrn_d","mts2vn_","prtsrf_","cjnsst_","sgmnt__","ld_bcc_","dataset","met_vnt","prcntj_","vnt_prm","dst_crc","nm_scls","nm_brrt","num_spr","nm_frmc","num_fcn","nm_stbl","nm_gsln","num_cmp","cvegeo","cve_ent","cve_mun","cve_agb","ambito","nom_ent","nom_mun","p6a11_n","p12a14n","p18ym_p","grapros","pocupad","pea","pder_ss","pobtot","p_18yms","p_18a24","p_60yms","pob0_14","pb15_64","pb65_ms","tothog","pobhog","vivtot","tvivhab","tvivpar","vvpr_hb","prom_cp","vph_ntr","lq_oxxo","lq_sevn","lq_brrt"
272,1,"C","Hogar",100.58,12,7,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,100,1518323.97714286,667.750742941749,0,3,0,0,0,33,0,0,"1902600012262","19","26","2262","Urbana","Nuevo León","Guadalupe",7,6,1378,11.94,1416,1447,2280,2668,1970,414,217,547,1995,126,754,2668,891,754,890,753,3.54,647,1.72937604690117,0,0.925676180514047
702,1,"C","Hogar",73.24,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,95.2,921464.206190476,313.826975903404,9,8,0,1,0,221,0,1,"1902600010444","19","26","0444","Urbana","Nuevo León","Guadalupe",8,4,1235,11.47,1093,1132,1990,2474,2040,246,665,348,1623,503,789,2458,915,790,816,691,3.12,627,1.38350083752094,1.10568942436412,0.925676180514047
704,1,"C","Base",107.23,13,9.00887573964497,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN",480000,95.2,1024033.43904762,464.044522429946,1,11,0,0,0,131,0,1,"1902600011372","19","26","1372","Urbana","Nuevo León","Guadalupe",7,6,896,9.68,1151,1188,1923,2451,1931,299,520,417,1629,399,686,2451,778,686,770,678,3.57,464,0.532115706738822,1.70106065286788,1.04435261391328
704,1,"C","Base",107.23,13,9.00887573964497,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN",480000,95.2,1024033.43904762,464.044522429946,1,11,0,0,0,131,0,1,"1902600011372","19","26","1372","Urbana","Nuevo León","Guadalupe",7,6,896,9.68,1151,1188,1923,2451,1931,299,520,417,1629,399,686,2451,778,686,770,678,3.57,464,0.993402777777778,0,1.0200635291067
125,1,"BC","Hogar",141.9,10,6,"Clásico","UT_TRAFICO_VEHICULAR","TRAIN",490000,100,1474221.52428571,391.658322338704,10,0,1,2,1,299,1,1,"1902600010181","19","26","0181","Urbana","Nuevo León","Guadalupe",5,6,1098,13.95,698,704,1420,1561,1315,142,499,193,988,380,555,1561,611,555,575,519,2.81,508,3.45875209380235,11.0568942436412,0
125,1,"BC","Hogar",141.9,10,6,"Clásico","UT_TRAFICO_VEHICULAR","TRAIN",490000,100,1474221.52428571,391.658322338704,10,0,1,2,1,299,1,1,"1902600010181","19","26","0181","Urbana","Nuevo León","Guadalupe",5,6,1098,13.95,698,704,1420,1561,1315,142,499,193,988,380,555,1561,611,555,575,519,2.81,508,0.851488095238095,0,1.03331110740679
279,1,"C","Hogar",104.2,13,12,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,100,1141309.02619048,508.275977136576,2,4,0,0,0,33,0,0,"1902600011419","19","26","1419","Urbana","Nuevo León","Guadalupe",5,0,1613,12.08,1334,1370,2344,2833,2337,326,728,388,1914,531,864,2833,950,864,920,834,3.28,735,2.82988807674737,4.02068881586954,0.504914280280389
127,1,"BC","Hogar",132,12,5,"Hogar Reunión","UT_GAS_URBANA","TRAIN",490000,95.2,881887.748095238,526.694985270538,0,16,0,1,0,221,1,0,"1902600011584","19","26","1584","Urbana","Nuevo León","Guadalupe",8,6,1005,8.67,2045,2083,3096,4255,3215,486,895,845,2757,653,1094,4255,1186,1094,1174,1082,3.89,673,0.40691201103557,0,1.16163285397841
127,1,"BC","Hogar",132,12,5,"Hogar Reunión","UT_GAS_URBANA","TRAIN",490000,95.2,881887.748095238,526.694985270538,0,16,0,1,0,221,1,0,"1902600011584","19","26","1584","Urbana","Nuevo León","Guadalupe",8,6,1005,8.67,2045,2083,3096,4255,3215,486,895,845,2757,653,1094,4255,1186,1094,1174,1082,3.89,673,0.541856060606061,0,1.06221491460698
706,1,"C","Hogar",120.87,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,90.5,827266.594285714,458.917278750294,1,1,0,0,1,25,0,0,"1900600010244","19","6","0244","Urbana","Nuevo León","Apodaca",0,4,25,9.34,48,51,59,90,66,13,14,19,60,11,19,90,22,19,22,19,4.74,12,3.68772893772894,2.57590618336887,0.361852844712683
129,1,"BC","Base",83.99,13,10,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN",480000,95.2,844267.040476191,145.983273429841,9,3,0,0,0,157,0,2,"1902600010321","19","26","0321","Urbana","Nuevo León","Guadalupe",14,10,2868,11.86,2332,2390,4247,5159,4283,524,1483,704,3253,1200,1635,5159,1859,1635,1799,1575,3.16,1338,2.82988807674737,3.01551661190215,0.56101586697821
268,1,"C","Base",121.2,13,9,"Clásico","UT_GAS_URBANA","TRAIN",480000,100,1343805.59666667,177.493749972066,14,0,0,0,0,83,2,0,"190260001132A","19","26","132A","Urbana","Nuevo León","Guadalupe",4,6,2055,14.62,1538,1567,2338,2713,2269,299,488,361,2094,258,977,2713,1232,977,1152,897,2.78,920,5.53400335008375,0,0.246846981470412
268,1,"C","Base",121.2,13,9,"Clásico","UT_GAS_URBANA","TRAIN",480000,100,1343805.59666667,177.493749972066,14,0,0,0,0,83,2,0,"190260001132A","19","26","132A","Urbana","Nuevo León","Guadalupe",4,6,2055,14.62,1538,1567,2338,2713,2269,299,488,361,2094,258,977,2713,1232,977,1152,897,2.78,920,0.91698717948718,0,1.02719684049906
131,1,"BC","Hogar",99.65,12,8,"Clásico","UT_DENSIDAD","TRAIN",490000,95.2,863832.078095238,363.247146134642,2,0,0,1,1,83,1,2,"1902600011160","19","26","1160","Urbana","Nuevo León","Guadalupe",13,7,2765,15.16,1923,1955,3099,3568,2997,367,796,454,2725,389,1155,3568,1225,1155,1113,1043,3.09,1121,3.45875209380235,8.29267068273092,0.154279363419008
131,1,"BC","Hogar",99.65,12,8,"Clásico","UT_DENSIDAD","TRAIN",490000,95.2,863832.078095238,363.247146134642,2,0,0,1,1,83,1,2,"1902600011160","19","26","1160","Urbana","Nuevo León","Guadalupe",13,7,2765,15.16,1923,1955,3099,3568,2997,367,796,454,2725,389,1155,3568,1225,1155,1113,1043,3.09,1121,0.45849358974359,0,1.06999670885318
716,1,"C","Hogar",121.21,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,100,1178213.27904762,942.965902870907,4,9,0,0,0,164,0,0,"1902600010124","19","26","0124","Urbana","Nuevo León","Guadalupe",3,6,1276,11.35,1132,1184,2177,2665,2191,276,749,370,1716,579,835,2665,953,835,919,801,3.19,677,0.691750418760469,0,1.11081141661686
716,1,"C","Hogar",121.21,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,100,1178213.27904762,942.965902870907,4,9,0,0,0,164,0,0,"1902600010124","19","26","0124","Urbana","Nuevo León","Guadalupe",3,6,1276,11.35,1132,1184,2177,2665,2191,276,749,370,1716,579,835,2665,953,835,919,801,3.19,677,3.17888888888889,0,0.816050823285362
722,1,"C","Base",118.3,13,7.28571428571429,"Oficinistas","UT_TRAFICO_VEHICULAR","TRAIN",480000,95.2,1155877.16238095,331.164331341862,3,7,0,0,0,98,0,0,"1902600010196","19","26","0196","Urbana","Nuevo León","Guadalupe",7,6,1077,13.48,685,693,1354,1557,1319,145,485,191,978,388,526,1557,594,526,543,475,2.96,472,1.62764804414228,0,0.943826693857459
722,1,"C","Base",118.3,13,7.28571428571429,"Oficinistas","UT_TRAFICO_VEHICULAR","TRAIN",480000,95.2,1155877.16238095,331.164331341862,3,7,0,0,0,98,0,0,"1902600010196","19","26","0196","Urbana","Nuevo León","Guadalupe",7,6,1077,13.48,685,693,1354,1557,1319,145,485,191,978,388,526,1557,594,526,543,475,2.96,472,5.96041666666667,0,0.556398288603656
726,1,"C","Hogar",113.96,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,90.5,969842.824761905,312.267985292941,0,5,0,0,0,34,0,0,"1900600012429","19","6","2429","Urbana","Nuevo León","Apodaca",9,6,1696,13.44,1579,1614,2820,3283,2022,233,97,1127,2107,46,936,3283,1077,936,1011,870,3.51,777,1.07558760683761,0,1.05540413041199
135,1,"BC","Hogar",124.5,12,7,"Clásico","UT_DENSIDAD","TRAIN",490000,100,1799266.05142857,389.140311838148,15,2,0,2,0,241,0,0,"1902600010162","19","26","0162","Urbana","Nuevo León","Guadalupe",0,6,1177,13.73,792,804,1391,1624,1390,169,473,173,1100,351,572,1624,677,572,633,528,2.84,508,3.89109610552764,0,0.539977771966527
135,1,"BC","Hogar",124.5,12,7,"Clásico","UT_DENSIDAD","TRAIN",490000,100,1799266.05142857,389.140311838148,15,2,0,2,0,241,0,0,"1902600010162","19","26","0162","Urbana","Nuevo León","Guadalupe",0,6,1177,13.73,792,804,1391,1624,1390,169,473,173,1100,351,572,1624,677,572,633,528,2.84,508,4.76833333333333,0,0.667677946324387
663,1,"C","Base",115.76,13,9.00887573964497,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN",480000,33.3,442602.903333333,108.447140834192,1,5,0,1,0,59,1,2,"1900600011543","19","6","1543","Urbana","Nuevo León","Apodaca",11,9,1838,11.94,2064,2096,3381,3926,2710,559,127,986,2875,65,1075,3926,1261,1075,1242,1056,3.65,952,0.806690705128205,4.50783582089552,0.791553097808995
639,1,"C","Hogar",113.85,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,100,1106255.61619048,325.563403225844,4,18,0,0,0,121,0,0,"1900600012039","19","6","2039","Urbana","Nuevo León","Apodaca",6,8,825,10.38,1275,1309,2264,2684,1705,320,90,791,1837,56,726,2684,799,726,772,699,3.7,581,0.339659244264507,0,1.199827853521
642,1,"C","Receso",88.39,13,7.28571428571429,"Oficinistas","UT_TRAFICO_PEATONAL","TRAIN",516000,81,593718.947142857,389.149553672521,3,2,0,0,0,60,0,1,"190260001011A","19","26","011A","Urbana","Nuevo León","Guadalupe",7,6,1777,12.34,1445,1474,2687,3115,2501,316,816,469,1958,674,993,3115,1109,993,1061,945,3.14,849,1.72937604690117,5.52844712182062,0.617117453676031
299,1,"C","Hogar",94,10,9,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN",490000,95.2,881021.732380952,127.915315639728,6,15,0,1,0,188,0,0,"1902600010389","19","26","0389","Urbana","Nuevo León","Guadalupe",5,6,1162,9.45,1693,1733,2795,3485,2799,372,809,556,2326,603,999,3480,1124,1000,1075,951,3.48,643,0.81382402207114,0,1.08903080060476
298,1,"C","Peatonal",103.3,13,5,"Oficinistas","UT_TRAFICO_PEATONAL","TRAIN",420000,100,942234.233809524,266.986195234537,8,5,1,0,0,147,0,2,"1902600011419","19","26","1419","Urbana","Nuevo León","Guadalupe",5,0,1613,12.08,1334,1370,2344,2833,2337,326,728,388,1914,531,864,2833,950,864,920,834,3.28,735,2.82988807674737,4.02068881586954,0.504914280280389
644,1,"C","Base",105.69,13,9.00887573964497,"Hogar Reunión","UT_TRAFICO_PEATONAL","TRAIN",480000,85.7,602058.426666667,279.478271271858,3,1,0,0,0,35,1,0,"1902600012883","19","26","2883","Urbana","Nuevo León","Guadalupe",4,0,1711,14.47,1562,1572,2439,2693,1898,178,65,719,1939,35,905,2693,1369,905,1333,869,2.98,840,4.7890413606494,1.70106065286788,0.284823440158168
296,1,"C","Hogar",86,13,5,"Clásico","UT_GAS_URBANA","TRAIN",490000,100,1286958.86714286,598.029639595939,1,1,0,0,0,39,1,0,"1902600011758","19","26","1758","Urbana","Nuevo León","Guadalupe",3,6,1616,15.19,1201,1215,1738,2105,1755,275,408,278,1608,219,630,2092,699,631,586,518,3.32,616,3.45875209380235,0,0.617117453676031
652,1,"C","Base",113.23,14,8.91304347826087,"Clásico","UT_TRAFICO_VEHICULAR","TRAIN",480000,95.2,762431.619047619,581.04678452884,3,1,0,0,0,101,0,1,"1902600012012","19","26","2012","Urbana","Nuevo León","Guadalupe",3,6,1697,15.09,1095,1107,1957,2227,1860,232,600,294,1554,378,661,2227,726,661,680,615,3.37,654,2.30583472920156,7.37126282909415,0.411411635784021
653,1,"C","Hogar",112.09,13,8.91304347826087,"Clásico","UT_DENSIDAD","TRAIN",490000,90.5,697016.464761905,540.771693345002,0,2,0,0,0,7,0,0,"1900600013041","19","6","3041","Urbana","Nuevo León","Apodaca",0,4,449,12.5,456,459,741,846,576,74,21,245,589,12,266,846,398,266,384,252,3.18,232,2.15117521367521,0,0.844323304329594
292,1,"C","Hogar",114,13,11,"Hogar Reunión","UT_GAS_URBANA","TRAIN",490000,100,1375956.98142857,853.336463339699,5,9,1,0,0,132,2,0,"1902600010961","19","26","0961","Urbana","Nuevo León","Guadalupe",0,3,867,12.83,791,820,1149,1353,1086,225,150,200,1072,81,426,1353,465,426,438,399,3.18,365,0.691750418760469,0,1.11081141661686
292,1,"C","Hogar",114,13,11,"Hogar Reunión","UT_GAS_URBANA","TRAIN",490000,100,1375956.98142857,853.336463339699,5,9,1,0,0,132,2,0,"1902600010961","19","26","0961","Urbana","Nuevo León","Guadalupe",0,3,867,12.83,791,820,1149,1353,1086,225,150,200,1072,81,426,1353,465,426,438,399,3.18,365,1.0145390070922,2.43489361702128,0.970737439691485
291,1,"C","Hogar",108.91,13,10,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,100,1310242.55380952,377.714295515552,7,5,0,1,0,134,0,1,"1902600010321","19","26","0321","Urbana","Nuevo León","Guadalupe",14,10,2868,11.86,2332,2390,4247,5159,4283,524,1483,704,3253,1200,1635,5159,1859,1635,1799,1575,3.16,1338,2.82988807674737,3.01551661190215,0.56101586697821
731,1,"C","Base",117.97,15,9.00887573964497,"Hogar Reunión","UT_GAS_URBANA","TRAIN",480000,95.2,804187.017619048,221.113025654553,1,8,0,1,0,118,1,0,"1902600012239","19","26","2239","Urbana","Nuevo León","Guadalupe",8,4,912,9.69,1302,1328,2131,2664,2031,317,487,524,1787,353,735,2649,819,736,769,686,3.6,495,1.15291736460078,1.84281570727354,0.925676180514047
289,1,"C","Hogar",114.04,13,9,"Hogar Reunión","UT_GAS_URBANA","TRAIN",490000,90.5,701430.583809524,718.819135353531,5,2,0,1,0,153,1,0,"1902600011870","19","26","1870","Urbana","Nuevo León","Guadalupe",8,9,2450,14.32,1748,1778,2795,3271,2770,318,768,418,2371,482,1186,3271,1391,1186,1356,1151,2.76,1120,3.45875209380235,2.76422356091031,0.462838090257023
289,1,"C","Hogar",114.04,13,9,"Hogar Reunión","UT_GAS_URBANA","TRAIN",490000,90.5,701430.583809524,718.819135353531,5,2,0,1,0,153,1,0,"1902600011870","19","26","1870","Urbana","Nuevo León","Guadalupe",8,9,2450,14.32,1748,1778,2795,3271,2770,318,768,418,2371,482,1186,3271,1391,1186,1356,1151,2.76,1120,1.83397435897436,0,0.941597103790803
288,1,"D","Base",104,13,11,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN",480000,95.2,827004.651428571,221.113025654553,2,7,1,1,0,135,1,1,"1902600011461","19","26","1461","Urbana","Nuevo León","Guadalupe",8,9,1227,10.19,1467,1512,2690,3227,2494,330,684,604,2182,441,936,3227,1061,936,1057,932,3.45,718,0.768611576400521,2.45708760969805,0.959960483496048
667,1,"C","Hogar",122.19,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,100,980900.478095238,591.755893252446,2,7,3,0,0,85,0,0,"1900600011632","19","6","1632","Urbana","Nuevo León","Apodaca",21,11,2265,10.92,2795,2854,5067,5931,3871,849,161,1569,4261,101,1557,5931,1755,1557,1686,1488,3.81,1319,1.61338141025641,0,0.949863717370794
668,1,"C","Hogar",93.08,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,90.5,957173.125714286,296.995221383905,2,24,0,1,0,139,1,0,"1902600011279","19","26","1279","Urbana","Nuevo León","Guadalupe",14,7,911,8.71,2108,2198,3233,4324,3167,506,731,973,2907,441,1086,4324,1129,1086,1034,991,3.98,645,0.276700167504188,0,1.18486551105798
668,1,"C","Hogar",93.08,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,90.5,957173.125714286,296.995221383905,2,24,0,1,0,139,1,0,"1902600011279","19","26","1279","Urbana","Nuevo León","Guadalupe",14,7,911,8.71,2108,2198,3233,4324,3167,506,731,973,2907,441,1086,4324,1129,1086,1034,991,3.98,645,1.08371212121212,0,1.01163325200665
285,1,"A","Hogar",130.46,13,7,"Clásico","UT_DENSIDAD","TRAIN",490000,100,2078949.05285714,329.921080636631,6,2,0,1,0,51,0,0,"1902600012084","19","26","2084","Urbana","Nuevo León","Guadalupe",5,6,1167,14.89,647,654,1322,1461,1276,145,516,145,900,414,487,1461,516,487,470,441,3,468,2.30583472920156,0,0.822823271568041
285,1,"A","Hogar",130.46,13,7,"Clásico","UT_DENSIDAD","TRAIN",490000,100,2078949.05285714,329.921080636631,6,2,0,1,0,51,0,0,"1902600012084","19","26","2084","Urbana","Nuevo León","Guadalupe",5,6,1167,14.89,647,654,1322,1461,1276,145,516,145,900,414,487,1461,516,487,470,441,3,468,0.883024691358025,0,1.03036720111788
671,1,"C","Base",114.21,13,9.00887573964497,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN",480000,100,1072566.29809524,219.340791163677,0,5,0,2,2,195,3,1,"1902600010285","19","26","0285","Urbana","Nuevo León","Guadalupe",4,7,1367,11.12,1414,1426,2321,2844,2307,325,613,438,1952,454,910,2844,1042,910,873,741,3.13,670,0.988214883943527,3.15911264104035,0.88159636239433
671,1,"C","Base",114.21,13,9.00887573964497,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN",480000,100,1072566.29809524,219.340791163677,0,5,0,2,2,195,3,1,"1902600010285","19","26","0285","Urbana","Nuevo León","Guadalupe",4,7,1367,11.12,1414,1426,2321,2844,2307,325,613,438,1952,454,910,2844,1042,910,873,741,3.13,670,2.64907407407407,0,0.865508448939021
674,1,"C","Hogar",114.34,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,95.2,979873.238095238,119.453499643048,4,31,0,1,0,203,0,0,"1902600010251","19","26","0251","Urbana","Nuevo León","Guadalupe",42,35,1116,8.25,2806,2856,4594,6072,4374,673,994,1401,3961,709,1508,6062,1647,1509,1615,1477,4.02,831,0.46898333475286,0,1.15055796448074
281,1,"BC","Hogar",121.54,13,8,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,100,1781733.51380952,437.154888268989,8,4,0,0,0,95,0,0,"1902600010162","19","26","0162","Urbana","Nuevo León","Guadalupe",0,6,1177,13.73,792,804,1391,1624,1390,169,473,173,1100,351,572,1624,677,572,633,528,2.84,508,3.89109610552764,0,0.539977771966527
281,1,"BC","Hogar",121.54,13,8,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,100,1781733.51380952,437.154888268989,8,4,0,0,0,95,0,0,"1902600010162","19","26","0162","Urbana","Nuevo León","Guadalupe",0,6,1177,13.73,792,804,1391,1624,1390,169,473,173,1100,351,572,1624,677,572,633,528,2.84,508,4.76833333333333,0,0.667677946324387
677,1,"C","Hogar",110.81,13,8.63934426229508,"Parada Técnica","UT_DENSIDAD","TRAIN",490000,81,544402.785714286,380.87125789481,3,8,0,1,0,145,1,1,"1902600010340","19","26","0340","Urbana","Nuevo León","Guadalupe",24,22,2333,11.01,2276,2338,4140,5009,4065,457,1452,759,3165,1085,1483,5009,1649,1483,1618,1452,3.38,1163,1.15291736460078,1.84281570727354,0.925676180514047
834,1,"C","Hogar",101.33,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,84.6,570505.648461538,389.149553672521,8,1,0,0,0,85,0,1,"1902600011870","19","26","1870","Urbana","Nuevo León","Guadalupe",8,9,2450,14.32,1748,1778,2795,3271,2770,318,768,418,2371,482,1186,3271,1391,1186,1356,1151,2.76,1120,3.45875209380235,2.76422356091031,0.462838090257023
834,1,"C","Hogar",101.33,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,84.6,570505.648461538,389.149553672521,8,1,0,0,0,85,0,1,"1902600011870","19","26","1870","Urbana","Nuevo León","Guadalupe",8,9,2450,14.32,1748,1778,2795,3271,2770,318,768,418,2371,482,1186,3271,1391,1186,1356,1151,2.76,1120,1.83397435897436,0,0.941597103790803
792,1,"C","Peatonal",87.25,11.5164835164835,7.28571428571429,"Oficinistas","UT_TRAFICO_PEATONAL","TRAIN",420000,90.5,694875.571904762,18.3649261567712,15,3,0,3,0,321,2,1,"190260001029A","19","26","029A","Urbana","Nuevo León","Guadalupe",16,9,1017,12.21,866,873,1494,1809,1513,213,461,250,1222,335,630,1801,750,632,704,586,2.86,474,2.69951382930915,1.6180820844353,0.662272389310863
164,1,"CD","Base",18.72,12,9,"Hogar Reunión","UT_GAS_URBANA","TRAIN",480000,95.2,1038173.84047619,557.191821825004,3,8,1,0,0,131,1,0,"1900600010278","19","6","0278","Urbana","Nuevo León","Apodaca",0,0,279,13.99,254,259,403,486,322,43,18,138,337,11,137,486,149,137,149,137,3.55,121,0.717058404558405,0,1.12576440577279
231,1,"CD","Hogar",116.5,13,9,"Hogar Reunión","UT_GAS_URBANA","TRAIN",490000,100,1138031.18333333,758.742618719311,3,4,0,0,0,79,0,0,"1902600011885","19","26","1885","Urbana","Nuevo León","Guadalupe",3,6,1163,12.49,973,983,1629,1944,1599,169,497,272,1392,280,619,1944,683,619,667,603,3.14,512,1.38350083752094,0,0.98738792588165
823,1,"C","Hogar",108.66,12.1102941176471,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,87.5,702649.719375,371.249540355862,4,14,0,0,0,101,0,1,"1902600011546","19","26","1546","Urbana","Nuevo León","Guadalupe",17,13,1548,10.31,1784,1821,3188,3715,3032,375,870,537,2576,600,1113,3715,1211,1113,1193,1095,3.34,822,0.432344011725293,1.38211178045515,1.07995554393305
824,1,"C","Hogar",97.92,12.1102941176471,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,57.1,532329.760714286,396.3088046285,4,11,0,0,0,63,0,0,"190060001030A","19","6","030A","Urbana","Nuevo León","Apodaca",10,10,1432,10.56,2069,2097,3497,4134,2738,573,170,1137,2890,106,1112,4134,1305,1112,1288,1095,3.72,884,0.866666666666667,0,1.04
824,1,"C","Hogar",97.92,12.1102941176471,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,57.1,532329.760714286,396.3088046285,4,11,0,0,0,63,0,0,"190060001030A","19","6","030A","Urbana","Nuevo León","Apodaca",10,10,1432,10.56,2069,2097,3497,4134,2738,573,170,1137,2890,106,1112,4134,1305,1112,1288,1095,3.72,884,1.65947802197802,0,0.940817396252977
